Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60611;Eau et assainissement;110;Services communs;011;Ch.  caract. gén.;3100;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);831;Aménagement des eaux;70;Prod. des services;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;323;Archives;011;Ch.  caract. gén.;9700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;323;Archives;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615232;Entretien et réparations réseaux;814;Eclairage public;011;Ch.  caract. gén.;200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;814;Eclairage public;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;313;Théâtres;012;Ch.de pers., frais ass.;19540;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;814;Eclairage public;21;Immob. corporelles;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;821;Equipements de voirie;011;Ch.  caract. gén.;190000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;4800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;026;Cimetires et pompes funbres;011;Ch.  caract. gén.;8000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615232;Entretien et réparations réseaux;91;Foires et marchés;011;Ch.  caract. gén.;78500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;258155;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;63;Aides  la famille;012;Ch.de pers., frais ass.;360634;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;415;Manifestations sportives;21;Immob. corporelles;47850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;020;Administration générale de la collectivité;011;Ch.  caract. gén.;130000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;14608;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;814;Eclairage public;012;Ch.de pers., frais ass.;326092;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;40;Services communs;21;Immob. corporelles;250000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;520;Services communs;012;Ch.de pers., frais ass.;394358;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;5489;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615231;Entretien et réparations voiries;831;Aménagement des eaux;011;Ch.  caract. gén.;60000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;024;Ftes et cérémonies;011;Ch.  caract. gén.;397756;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7067;Redevances et droits des services périscolaires et d'enseignement;311;Expression musicale, lyrique et chorégraphique;70;Prod. des services;136320;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;39172;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7381;Taxe additionnelle aux droits de mutation ou  la taxe de publicité foncire;01;Opérations non ventilables;73;Impôts et taxes;18000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;422;Autres activités pour les jeunes;65;Autres ch d'activité;180448;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;322;Musées;011;Ch.  caract. gén.;130290;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6156;Maintenance;321;Bibliothques et médiathques;011;Ch.  caract. gén.;27140;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;321;Bibliothques et médiathques;011;Ch.  caract. gén.;113000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;020;Administration générale de la collectivité;21;Immob. corporelles;380000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;33;Action culturelle;011;Ch.  caract. gén.;24000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;023;Information, communication, publicité;011;Ch.  caract. gén.;572606;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;673;Titres annulés (sur exercices antérieurs);90;Interventions économiques;67;Ch. execpt.;325000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;820;Services communs;012;Ch.de pers., frais ass.;18346;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;021;Assemblée locale;012;Ch.de pers., frais ass.;2558;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;90;Interventions économiques;012;Ch.de pers., frais ass.;13033;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65743;subv pers dt privé-drh-syndicats;020;Administration générale de la collectivité;65;Autres ch d'activité;13000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;635663;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;211;Ecoles maternelles;012;Ch.de pers., frais ass.;677766;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;020;Administration générale de la collectivité;011;Ch.  caract. gén.;106000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;64;Crches et garderies;65;Autres ch d'activité;160;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;212;Ecoles primaires;012;Ch.de pers., frais ass.;1994028;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;666195;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;421;Centres de loisirs;012;Ch.de pers., frais ass.;478832;0
Budget principal VT;Dépense;Réel;Investissement;M14V;27;Autres immobilisations financires;275;Dépots et cautionnements versés;01;Opérations non ventilables;27;Autres immob. fin.;40000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7488;Autres attributions et participations;64;Crches et garderies;74;Dotations, subv.;260000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;522;Actions en faveur de l'enfance et de l'adolescence;011;Ch.  caract. gén.;800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;423;Colonies de vacances;011;Ch.  caract. gén.;327670;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;423;Colonies de vacances;75;Autres prod. d'activité;4000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;415;Manifestations sportives;011;Ch.  caract. gén.;517000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;251;Hébergement et restauration scolaire;74;Dotations, subv.;60000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;656;Frais de fonctionnement des groupes d'élus;6562;Matériel, équipement et fournitures;01;Opération non ventilable;656;Frais fonc. groupe d'élus;21673;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;213;Classes regroupées;011;Ch.  caract. gén.;10000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28152;Amortissements des installations de voirie;01;Opération non ventilable;040;;2033464;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281568;Amortissements d'autre matériel et outillage d'incendie et de défense civile;01;Opération non ventilable;040;;20151;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;524;Autres services;012;Ch.de pers., frais ass.;24494;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;822;Voirie communale et routes;012;Ch.de pers., frais ass.;212997;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;114;Autres services de protection civile;012;Ch.de pers., frais ass.;204614;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;20;Services communs;012;Ch.de pers., frais ass.;1219651;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;323;Archives;74;Dotations, subv.;25000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;323;Archives;011;Ch.  caract. gén.;10300;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1322;Subventions d'équipement non transférables - Régions;822;Voirie communale et routes;13;Subventions;420000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7083;Locations diverses (autres qu'immeubles);311;Expression musicale, lyrique et chorégraphique;70;Prod. des services;20000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;820;Services communs;011;Ch.  caract. gén.;3800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;026;Cimetires et pompes funbres;21;Immob. corporelles;500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;313;Théâtres;21;Immob. corporelles;354566;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;023;Information, communication, publicité;011;Ch.  caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);823;Espaces verts urbains;011;Ch.  caract. gén.;500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;321;Bibliothques et médiathques;21;Immob. corporelles;345000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;33;Action culturelle;011;Ch.  caract. gén.;108000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;322;Musées;011;Ch.  caract. gén.;246900;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);30;Services communs;70;Prod. des services;3000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;261;Titres de participation (O);01;Opération non ventilable;040;;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;522;Actions en faveur de l'enfance et de l'adolescence;011;Ch.  caract. gén.;9500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;412;Stades;23;Travaux en cours;8292719;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;412;Stades;13;Subventions;1154000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;800661;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;66;Charges financires;6688;Autres charges financires - Autres;01;Opération non ventilable;66;Charges fin.;201500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7718;Autres produits exceptionnels sur opérations de gestion;510;Services communs;77;Prod. exceptionnels;55000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;322;Musées;012;Ch.de pers., frais ass.;1607452;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;512;Actions de prévention sanitaire;011;Ch.  caract. gén.;528100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;510;Services communs;011;Ch.  caract. gén.;35000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;40;Services communs;012;Ch.de pers., frais ass.;279020;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;4065;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804113;Amortissement des subventions d'équipement versées  l'état - Projet d'infrastructures d'intért national (O);01;Opération non ventilable;040;;24757;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;136078;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;021;Assemblée locale;012;Ch.de pers., frais ass.;1279;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;9556;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;33;Action culturelle;011;Ch.  caract. gén.;39400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;822;Voirie communale et routes;011;Ch.  caract. gén.;36000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;33;Action culturelle;011;Ch.  caract. gén.;16000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;61;Services en faveur des personnes agées;011;Ch.  caract. gén.;66700;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;2028219;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;322;Musées;011;Ch.  caract. gén.;29600;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services  caractre culturel;322;Musées;70;Prod. des services;517500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;321;Bibliothques et médiathques;011;Ch.  caract. gén.;5200;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services  caractre culturel;422;Autres activités pour les jeunes;70;Prod. des services;548431;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6237;Publications;33;Action culturelle;011;Ch.  caract. gén.;26000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;33;Action culturelle;011;Ch.  caract. gén.;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6237;Publications;023;Information, communication, publicité;011;Ch.  caract. gén.;646526;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6233;Foires et expositions;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;60000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7338;Autres taxes;322;Musées;73;Impôts et taxes;5200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;520;Services communs;012;Ch.de pers., frais ass.;696783;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7018;Autres ventes de produits finis;524;Autres services;70;Prod. des services;3900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6132;Locations immobilires;523;Actions en faveur des personnes en difficulté;011;Ch.  caract. gén.;78000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;21267;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6355;Taxes et impôts sur les véhicules;020;Administration générale de la collectivité;011;Ch.  caract. gén.;19200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;58492;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;465050;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;20;Services communs;012;Ch.de pers., frais ass.;37447;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2138;Autres constructions;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;1646625;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;63;Aides  la famille;012;Ch.de pers., frais ass.;3530;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;40;Services communs;21;Immob. corporelles;34329;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;521;Services  caractre social pour handicapés et inadaptés;011;Ch.  caract. gén.;12000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;013;Atténuations de charges;6419;Remboursements sur rémunérations du personnel;020;Administration générale de la collectivité;013;Atténuation de ch.;250000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6168;Primes d'assurances - Autres;01;Opérations non ventilables;011;Ch.  caract. gén.;45000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;255;Classes de découverte et autres services annexes de l'enseignement;011;Ch.  caract. gén.;4300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;255;Classes de découverte et autres services annexes de l'enseignement;011;Ch.  caract. gén.;6900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;255;Classes de découverte et autres services annexes de l'enseignement;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;823;Espaces verts urbains;012;Ch.de pers., frais ass.;9219517;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;020;Administration générale de la collectivité;65;Autres ch d'activité;3180000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;64;Crches et garderies;77;Prod. exceptionnels;57000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;40;Services communs;011;Ch.  caract. gén.;23000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6227;Frais d'actes et de contentieux;03;Justice;011;Ch.  caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;415;Manifestations sportives;012;Ch.de pers., frais ass.;285117;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;510;Services communs;012;Ch.de pers., frais ass.;399721;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;1012947;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;291967;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;12;Hygine et salubrité publique;011;Ch.  caract. gén.;35000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;30;Services communs;012;Ch.de pers., frais ass.;189660;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;423;Colonies de vacances;21;Immob. corporelles;59000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;822;Voirie communale et routes;012;Ch.de pers., frais ass.;4911;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;1108318;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;5451;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;33;Action culturelle;012;Ch.de pers., frais ass.;24877;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21316;Equipements de cimetire;026;Cimetires et pompes funbres;21;Immob. corporelles;305000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;30;Services communs;011;Ch.  caract. gén.;5200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60622;Carburants;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;2104;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6241;Transports de biens;321;Bibliothques et médiathques;011;Ch.  caract. gén.;18000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;746;Dotation générale de décentralisation;321;Bibliothques et médiathques;74;Dotations, subv.;73400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;831;Aménagement des eaux;011;Ch.  caract. gén.;55700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;423;Colonies de vacances;012;Ch.de pers., frais ass.;656;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7388;Autres taxes diverses;824;Autres opérations d'aménagement urbain;73;Impôts et taxes;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;70;Services communs;012;Ch.de pers., frais ass.;1991;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;823;Espaces verts urbains;012;Ch.de pers., frais ass.;2937229;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;831;Aménagement des eaux;012;Ch.de pers., frais ass.;37410;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;521;Services  caractre social pour handicapés et inadaptés;011;Ch.  caract. gén.;33000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;251;Hébergement et restauration scolaire;21;Immob. corporelles;1250085;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70878;Remboursement des frais par d'autres redevables;020;Administration générale de la collectivité;70;Prod. des services;152631;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;64;Crches et garderies;21;Immob. corporelles;67300;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;255;Classes de découverte et autres services annexes de l'enseignement;74;Dotations, subv.;4416000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;524;Autres services;012;Ch.de pers., frais ass.;869173;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;33;Action culturelle;012;Ch.de pers., frais ass.;9392;0
