Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;520;Services communs;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6156;Maintenance;112;Police municipale;011;Ch. à caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21534;Réseaux d'électrification;91;Foires et marchés;21;Immob. corporelles;30000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;313;Théâtres;011;Ch. à caract. gén.;49000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;33;Action culturelle;011;Ch. à caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;166;Refinancement de la dette;01;Opération non ventilable;16;Empr. et dettes ass.;9700000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6288;Autres services extérieurs;322;Musées;011;Ch. à caract. gén.;41000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;323;Archives;77;Prod. exceptionnels;9000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70323;Redevance d'occupation du domaine public communal;822;Voirie communale et routes;70;Prod. des services;3651000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;322;Musées;21;Immob. corporelles;1009200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;33;Action culturelle;011;Ch. à caract. gén.;34400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);422;Autres activités pour les jeunes;011;Ch. à caract. gén.;2900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;822;Voirie communale et routes;011;Ch. à caract. gén.;42000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6232;Fêtes et cérémonies;024;Fêtes et cérémonies;011;Ch. à caract. gén.;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;916302;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;61;Services en faveur des personnes agées;011;Ch. à caract. gén.;18000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;61;Services en faveur des personnes agées;011;Ch. à caract. gén.;350;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;1528420;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;34000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);833;Préservation du millieu naturel;011;Ch. à caract. gén.;750;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2121;Plantations d'arbres et arbustes;823;Espaces verts urbains;21;Immob. corporelles;170000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;024;Fêtes et cérémonies;012;Ch.de pers., frais ass.;5816;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;510;Services communs;16;Empr. et dettes ass.;100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;323;Archives;012;Ch.de pers., frais ass.;228456;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;40;Services communs;012;Ch.de pers., frais ass.;3870961;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;321;Bibliothèques et médiathèques;21;Immob. corporelles;161500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60621;Combustibles;423;Colonies de vacances;011;Ch. à caract. gén.;300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;024;Fêtes et cérémonies;012;Ch.de pers., frais ass.;2704;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;026;Cimetières et pompes funèbres;012;Ch.de pers., frais ass.;17976;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60621;Combustibles;40;Services communs;011;Ch. à caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;70;Services communs;012;Ch.de pers., frais ass.;8397;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;212;Ecoles primaires;012;Ch.de pers., frais ass.;287681;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;021;Assemblée locale;012;Ch.de pers., frais ass.;1348;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;023;Information, communication, publicité;012;Ch.de pers., frais ass.;101810;0
Budget principal VT;Recette;Ordre;Fonctionnement;M14V;042;Opérations d'ordre de transfert entre sections;776;Différences sur réalisations (négatives) reprises au compte de résultat;01;Opération non ventilable;042;;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;9260593;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;523;Actions en faveur des personnes en difficulté;75;Autres prod. d'activité;16900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;522;Actions en faveur de l'enfance et de l'adolescence;65;Autres ch d'activité;1163830;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;026;Cimetières et pompes funèbres;012;Ch.de pers., frais ass.;8888;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;13455;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657361;Subventions de fonctionnement à la caisse des écoles;522;Actions en faveur de l'enfance et de l'adolescence;65;Autres ch d'activité;100000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1321;Subventions d'équipement non transférables - Etat et établissements nationaux;822;Voirie communale et routes;13;Subventions;0;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;64;Crèches et garderies;74;Dotations, subv.;18076569;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6156;Entretien et réparations - Maintenance;6156;Entretien et réparations - Maintenance;011;;5000;0
Pompes Funèbres;Recette;Réel;Fonctionnement;M4x;75;Autres produits de gestion courante;758;Produits divers de gestion courante;758;Produits divers de gestion courante;75;;32000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;64;Crèches et garderies;65;Autres ch d'activité;10110911;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2138;Autres constructions;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;2972625;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;617;Etudes et reherches;822;Voirie communale et routes;011;Ch. à caract. gén.;6000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;313;Théâtres;012;Ch.de pers., frais ass.;2420000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;33;Action culturelle;21;Immob. corporelles;7125;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;322;Musées;011;Ch. à caract. gén.;349640;0
Théâtre Orchestre du Capitole;Dépense;Ordre;Fonctionnement;M14;042;Opérations d'ordre de transfert entre sections;6811;Dotations aux amortissements des immobilisations incorporelles et corporelles;01;Opération non ventilable;68;Dot. amort. et prov.;310705;0
Théâtre Orchestre du Capitole;Recette;Réel;Fonctionnement;M14;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);313;Théâtres;70;Prod. des services;55000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;822;Voirie communale et routes;011;Ch. à caract. gén.;3000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;6256;Missions;313;Théâtres;011;Ch. à caract. gén.;765000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;424959;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;322;Musées;011;Ch. à caract. gén.;38708;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6241;Transports de biens;322;Musées;011;Ch. à caract. gén.;377884;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);323;Archives;011;Ch. à caract. gén.;7000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;33;Action culturelle;012;Ch.de pers., frais ass.;286011;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60633;Fournitures de voirie;823;Espaces verts urbains;011;Ch. à caract. gén.;33000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21316;Equipements de cimetière;026;Cimetières et pompes funèbres;21;Immob. corporelles;320000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7381;Taxe additionnelle aux droits de mutation ou à la taxe de publicité foncière;01;Opérations non ventilables;73;Impôts et taxes;19000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6251;Voyages et déplacements;313;Théâtres;011;Ch. à caract. gén.;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60611;Eau et assainissement;823;Espaces verts urbains;011;Ch. à caract. gén.;860000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60618;Autres fournitures non stockables;020;Administration générale de la collectivité;011;Ch. à caract. gén.;4820000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;024;Fêtes et cérémonies;65;Autres ch d'activité;45000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;673;Titres annulés (sur exercices antérieurs);90;Interventions économiques;67;Ch. execpt.;325000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6282;Frais de gardiennage (églises, forêts et bois communaux...);314;Cinémas et autres salles de spectacles;011;Ch. à caract. gén.;13500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6218;Autre personnel extérieur;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;114673;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7018;Autres ventes de produits finis;524;Autres services;70;Prod. des services;6500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;521;Services à caractère social pour handicapés et inadaptés;011;Ch. à caract. gén.;17600;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;412;Stades;75;Autres prod. d'activité;200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6248;Divers;423;Colonies de vacances;011;Ch. à caract. gén.;7350;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;356036;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;63;Aides à la famille;012;Ch.de pers., frais ass.;355133;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;020;Administration générale de la collectivité;75;Autres prod. d'activité;1130520;0
Budget principal VT;Dépense;Réel;Investissement;M14V;27;Autres immobilisations financières;274;Prêts;01;Opérations non ventilables;27;Autres immob. fin.;1800000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;313;Théâtres;65;Autres ch d'activité;260000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;33;Action culturelle;65;Autres ch d'activité;58250;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6237;Publications;322;Musées;011;Ch. à caract. gén.;46608;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;020;Administration générale de la collectivité;011;Ch. à caract. gén.;111367;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;33;Action culturelle;011;Ch. à caract. gén.;256350;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6233;Foires et expositions;322;Musées;011;Ch. à caract. gén.;107500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;17395;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;110;Services communs;012;Ch.de pers., frais ass.;137949;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;11500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;49003;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;831;Aménagement des eaux;21;Immob. corporelles;280000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;90;Interventions économiques;21;Immob. corporelles;480000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60633;Fournitures de voirie;024;Fêtes et cérémonies;011;Ch. à caract. gén.;121000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;023;Information, communication, publicité;012;Ch.de pers., frais ass.;29809;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;01;Opérations non ventilables;21;Immob. corporelles;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;66;Charges financières;6688;Autres charges financières - Autres;01;Opération non ventilable;66;Charges fin.;616500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7338;Autres taxes;322;Musées;73;Impôts et taxes;5100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6244;Transports administratifs;322;Musées;011;Ch. à caract. gén.;1460;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60631;Fournitures d'entretien;423;Colonies de vacances;011;Ch. à caract. gén.;48070;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;64;Crèches et garderies;012;Ch.de pers., frais ass.;10224889;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;19626;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6184;Versement à des organismes de formation;020;Administration générale de la collectivité;011;Ch. à caract. gén.;1617500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60631;Fournitures d'entretien;411;Salles de sports, gymnases;011;Ch. à caract. gén.;68272;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;112;Police municipale;012;Ch.de pers., frais ass.;95883;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;73111;TAXES FONCIERES ET D HABITATION;01;Opérations non ventilables;73;Impôts et taxes;250800000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;523;Actions en faveur des personnes en difficulté;21;Immob. corporelles;4000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2033;Frais d'insertion;020;Administration générale de la collectivité;20;Immob. incorporelles;150000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;415;Manifestations sportives;011;Ch. à caract. gén.;14000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60623;Alimentation;020;Administration générale de la collectivité;011;Ch. à caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);522;Actions en faveur de l'enfance et de l'adolescence;011;Ch. à caract. gén.;260;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;512;Actions de prévention sanitaire;011;Ch. à caract. gén.;471000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;415;Manifestations sportives;012;Ch.de pers., frais ass.;78;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;731761;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;423;Colonies de vacances;012;Ch.de pers., frais ass.;14115;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;61551;Entretien et réparations - Matériel roulant;61551;Entretien et réparations - Matériel roulant;011;;1000;0
Pompes Funèbres;Recette;Ordre;Investissement;M4x;040;Opérations d'ordre de transfert entre sections;28183;Amortissements des immobilisations corporelles - Matériel de bureau et matériel informatique;28183;Amortissements des immobilisations corporelles - Matériel de bureau et matériel informatique;28;;3148;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;64;Crèches et garderies;77;Prod. exceptionnels;57000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;322;Musées;011;Ch. à caract. gén.;14184;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;112;Police municipale;21;Immob. corporelles;233767;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;6257;Réceptions;313;Théâtres;011;Ch. à caract. gén.;98686;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;33;Action culturelle;011;Ch. à caract. gén.;24840;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;48400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;32289;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6261;Frais d'affranchissement;33;Action culturelle;011;Ch. à caract. gén.;650;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;60;Services communs;011;Ch. à caract. gén.;2500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7488;Autres attributions et participations;421;Centres de loisirs;74;Dotations, subv.;300000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;831;Aménagement des eaux;011;Ch. à caract. gén.;68800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;33;Action culturelle;012;Ch.de pers., frais ass.;25544;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;211955;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;1088819;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2138;Autres constructions;324;Entretien du partrimoine culturel;21;Immob. corporelles;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60622;Carburants;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;2500;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28183;Amortissements du matériel de bureau et matériel informatique;01;Opération non ventilable;28;Amort. des immobilisations;2234396;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28041481;Amortissement des subventions d'équipement versées aux autres communes - Biens mobiliers, matériel et études (O);01;Opération non ventilable;28;Amort. des immobilisations;48431;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;026;Cimetières et pompes funèbres;21;Immob. corporelles;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;024;Fêtes et cérémonies;011;Ch. à caract. gén.;370000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;60612;Energie - Electricité;313;Théâtres;011;Ch. à caract. gén.;207500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;90;Interventions économiques;75;Autres prod. d'activité;72000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7388;Autres taxes diverses;01;Opérations non ventilables;73;Impôts et taxes;93000;0
Théâtre Orchestre du Capitole;Recette;Ordre;Investissement;M14;021;Virement de la section de fonctionnement;21;Virement de la section de fonctionnement;01;Opération non ventilable;021;;94095;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;33;Action culturelle;23;Travaux en cours;517000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6064;Fournitures administratives;020;Administration générale de la collectivité;011;Ch. à caract. gén.;537177;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70848;Mise à disposition de personnel facturée aux autres organismes;025;Aides aux associations (non classées ailleurs);70;Prod. des services;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;673;Titres annulés (sur exercices antérieurs);01;Opérations non ventilables;67;Ch. execpt.;670000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;024;Fêtes et cérémonies;21;Immob. corporelles;212000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;67443;Subventions de fonctionnement exceptionnelles aux fermiers et aux concessionnaires;322;Musées;67;Ch. execpt.;4635000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60623;Alimentation;322;Musées;011;Ch. à caract. gén.;7400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6042;Achats de prestations de services (autres que terrain à aménager);822;Voirie communale et routes;011;Ch. à caract. gén.;35000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6283;Frais de nettoyage des locaux;412;Stades;011;Ch. à caract. gén.;64800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;823;Espaces verts urbains;012;Ch.de pers., frais ass.;9286492;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;814;Eclairage public;012;Ch.de pers., frais ass.;372863;0
Budget principal VT;Dépense;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2135;Installations générales, agencements, aménagements des constructions (O);01;Opération non ventilable;21;Immob. corporelles;3000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;422;Autres activités pour les jeunes;65;Autres ch d'activité;74100;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;423;Colonies de vacances;21;Immob. corporelles;5000;0
